1,지구가 제일 힘들었던 시기는?,고생대
2,서울에서 생산된 고기는?,살코기(지방이 없으니까)
3,F는 좀 애매한 이유는?,F = ma니까
4,me too와 비슷한 말은?,another(어 나도)
5,메이저리그에서 던지는 공은?,해외직구
6,이야기를 팔아서 돈을 버는 사람은?,썰(Ssul)매장 주인
7,할아버지를 영어로?,맨틀
8,옷감을 울게 만드는 것은?,섬유유(ㅠㅠ)연제
9,비빔밥 재료가 맨날 남는 이유는?,나물 음식이라서
10,도서관에서 음료수를 원샷하는 이유는?,반입금지라서
11,피카츄가 담배를 피기 전에 하는 말?,피까
12,모든 사람을 일어나게 하는 숫자는?,다섯
13,사자가 항상 숙제를 안 하는 이유는?,밀림의 제왕이라서
14,자동차를 톡하고 치면?,카톡
15,다리미가 좋아하는 음식은?,피자
16,겨울왕국의 엘사가 놀릴 때 하는 말은?,얼 Let it go 레리
17,뽑으면 우는 식물은?,우엉
18,광부가 가장 많은 나라는?,케냐
19,사람이 울면?,흑인
20,오키나와에 가면 살이 찌는 이유는?,5끼 나오니까
21,소나무가 삐지면?,칫솔
22,우유가 아프면?,앙팡
23,등쳐먹고 사는 사람은?,안마사
24,소가 불에 타면?,탄소
25,오리가 얼면?,언덕
26,가장 비싼 새는?,백조
27,땅 울 때 내는 소리는?,흙흙
28,수박 한 통에 1만 원인데 두통엔?,게보린
29,맥주가 죽기 전에 남긴 말은?,유언비어
30,가장 가난한 왕은?,최저임금
31,칼이 정색하면?,검정색
32,가수 설운도가 옷을 벗는 순서가 어떻게 될까?,상하의
33,항상 미안해하는 연예인은?,지성
34,반성문을 영어로 하면?,글로벌
35,세종대왕이 나온 고등학교는?,가갸거겨고교
36,새우가 주인공인 드라마는?,대하드라마
37,화장실에서 금방 나온 사람은?,일본사람
38,회를 가장 잘 뜨는 곳은?,회전문
39,소금의 유통기한은?,천일염
40,왕이 궁에 가기 싫을 때 하는 말은?,궁시렁궁시렁
41,아마존에 살고 있는 사람의 이름은?,아마 존?
42,신발이 화가 나면?,신발 끈
43,고등학생이 싫어하는 나무는?,야자나무
44,가장 억울한 도형은?,원통
45,가장 지루한 중학교?,로딩중
46,서울이 추우면?,서울시립대
47,정말 큰 학은?,대학
48,가장 야한 가수는?,다비치
49,어부들이 싫어하는 사람은?,배철수
50,얼음이 죽으면?,다이빙
51,이탈리아의 날씨?,습하겟디
52,가장 뜨거운 바다는?,열받아
53,인천 앞바다의 반대는?,인천 엄마다
54,누룽지를 영어로?,바비브라운
55,가는 말이 고우면 오는 말은?,Come
56,높은 곳에서 새끼를 낳는 동물은?,하이에나
57,딸기가 도망가면?,딸기쨈
58,길 가다가 음식을 주운 것을 3자로?,푸드 득
59,옥수수가 시험을 보는 것을 4자로?,콘테스트
60,칼로 산을 두 개로 자르면?,두산베어스
61,낙엽이 귀엽게 떨어지면서 나는 소리는?,나기엽?
62,신부가 부케를 던지면서 하는 말,기다려 본캐로 온다
63,물리치료를 받는 이유는?,병을 물리치료구
64,부침개를 먹으면 살이 찌는 이유는?,전 부처먹기 때문
65,우유가 넘어지면?,아야
66,보내기 싫으면?,가위나 바위를 낸다
67,가장 놀라운 거품은?,언빌리버블
68,자전거 무법자가 차와 부딪혀서 죽으면?,고 자라니
69,모내기 기계가 고장이 나면?,심기 불편
70,흑형의 여자친구는?,깜짝
71,간첩이 동물원에 가면 찾는 새는?,공작새
72,오래된 우유를 다른 말로?,연세우유
73,2만 원 중에 1만 원만 현질하면?,반지름
74,모태솔로를 영어로?,없데이트
75,애플이 망한 이유는?,MAC(막) 만들어서
76,돼지고기가 금값인 이유?,돼지가 '한 돈' 가격이라서
77,연필로 잘못 썼을 때 피카츄로 지우면 되는 이유는?,지우 개니까
78,아이언맨을 대체할 히어로가 없는 이유는?,iron 사람 또 없어서
79,흑인이 도망갈 때 하는 말?,니거기서!
80,해산물이 전부 '부패'하는 이유는?,생선은 전부 비리니까
81,DJ DOC의 국적은?,나! 이란 사람이야~
82,세종대왕이 자기소개를 하면?,난이도
83,공기밥을 영어로 하면 뭐임?,윈드밀
