No.,답변,질문
,제네시스,"""쟤네들 자매들이야""를 영어로?"
,가갸거겨고교,세종대왕이 나온 고등학교는?
,가게집 아들,슈퍼주니어를 한국말로 바꾸면?
,가나다라,가나초콜릿이 단 이유는?
,가르마,"Head는 머리, Line은 선, 그러면 Headline은?"
,가봉,옷을 가장 많이 해 입는 나라는?
,가시덤불,뜨겁지는 않지만 따가운 불은?
,가자미국,멕시코 사람들이 가장 좋아하는 생선국은?
,간첩,기생이 오르가슴을 느끼면?
,감,아이디어 회의할 때 주워야 하는 과일은?
,감전사,감이 전쟁터에서 죽으면?
,갓난 아기,신을 낳은 아기는?
,갓난 아기,천재 남편과 바보 아내가 결혼해서 낳은 아기는?
,개구리,'너무 안 좋다'를 3자로?
,개기름,사람의 몸에서도 만들어질 수 있는 기름은?
,개드립,개가 내린 커피는?
,개미의 먹이,개미의 목구멍보다 작은 것은?
,개불쌍이라,개불 2마리가 붙어 있으면 슬픈 이유는?
,개인사업,개와 사람이 동업을 하면?
,개포동,뚱뚱한 사람들이 모여있는 동네는?
,거북선,거북이가 소개팅을 하면?
,거울,거꾸로 들어도 바로 보이는 것은?
,거위알,아직 덜 익은 알은?
,거짓말,호랑이와 고래 사이에서 태어난 말은?
,걱정거리,사람들이 가장 싫어하는 거리는?
,건물,물을 세우면?
,건배,성인들이 술자리에서 내미는 배는?
,걸레,닦을수록 더러워지는 것은?
,검문소,소가 칼을 물고 있는 곳은?
,검정색,칼이 정색하면?
,게보린,수박 한 통에 1만 원인데 두통엔?
,게으름,게를 냉동실에 넣으면?
,게이트웨이,보신탕 집 가는 길은?
,겨울왕국,추운 나라에 사는 왕이 좋아하는 국은?
,경마장,언제나 말다툼 때문에 시끄러운 곳은?
,경주,매일 달리는 사람들이 모으는 도시는?
,경찰 앉아,경찰서의 반대말은?
,고 자라니,자전거 무법자가 차와 부딪혀서 죽으면?
,고3 수험생,재수 없는 것이 좋은 사람은?
,고로케 하면 안돼,빵집에서 하면 안 되는 메뉴는?
,고물장수,헌병이 가장 무서워하는 사람은?
,고생대,지구가 제일 힘들었던 시기는?
,고스톱,피가 많이 나야 돈을 버는 일은?
,고양이,양이 높은 곳에 있으면?
,고집,목수도 고칠 수 없는 집은?
,고추장,추장보다 높은 사람은?
,곡괭이,고양이가 부르는 노래는?
,곡성,성에서 억울하게 죽은 사람이 한을 풀면?
,곤드레밥,늘 취해있는 밥은?
,골탕,내가 먹으면 맛이 없고 다른 사람이 먹어야 맛있는 탕은?
,곰인형,고민이 많은 물건?
,곰탕,곰이 목욕을 하는 곳은?
,곱빼기,'보통'이 커지면?
,공감,감이 하나도 없으면?
,공기밥,먹어도 배가 부르지 않는 밥은?
,공부,아버지가 학습을 하면?
,공작새,간첩이 동물원에 가면 찾는 새는?
,공작새,간첩이 동물원 가면 찾는 새는?
,공주시체육회,공주를 죽여서 그 시체를 생으로 먹으면?
,공중분해,비행기를 타고 있을 때 화를 내면 안되는 이유는?
,과,하늘과 땅 사이에 있는 것은?
,관계또대왕,정력이 가장 좋은 왕은?
,관리자,모나리자가 관에 들어가면?
,광부,아빠가 빛이 나면?
,교사,공부해서 남 주는 사람은?
,교정,다리가 기울어져 있으면?
,구내염,구내식당에서 쓰는 소금 이름은?
,구내염,3 곱하기 3은 몇이게염?
,구닥다리,세상에서 가장 오래 된 치킨은?
,구멍,깎으면 깎을수록 커지는 것은?
,국산,우리나라 산은?
,궁시렁궁시렁,왕이 궁에 가기 싫을 때 하는 말은?
,그게 멍 게소리야,멍게가 우는 소리 들어봤냐?
,그냥 해본 말이여,말이 태양을 보고 있으면?
,그림의 떡,먹을 수 없는 떡은?
,그림의 떡,동물원의 맹수들이 바라본 구경꾼들의 모습을 4자로?
,근육 이완용이기 때문,안마 의자가 매국노인 이유는?
,글로벌,반성문을 영어로 하면?
,기아 타이거즈,호랑이가 사냥을 못하면?
,기아타이거즈,호랑이들이 배가 고프면?
,기차,항상 같은 길로만 다니는 것은?
,김경호,소리를 지르면서 김을 지키는 사람은?
,김밥천국,김밥이 죽으면 어디로 갈까?
,김태희,비범한 여자는?
,까닭,먹지 못하는 닭은?
,깐풍기,선풍기를 개봉하면?
,깜짝,흑형의 여자친구는?
,깜찍,흑인이 울면?
,꼬꼬댁,암탉은 어느 집에서 시집 왔을까?
,꼴불견,추잡스럽기 짝이 없는 개는?
,꿈,장님도 몰 수 있는 것은?
